conquering_cost,filename,total_scores,travelling_cost
17.795429999999996,inputs/454.in,207.37981000000002,189.58438000000004
977.0,inputs/34.in,3919.0,2942.0
175.58700000000002,inputs/685.in,496.49699999999973,320.90999999999974
507.0,inputs/514.in,1751.0,1244.0
443.92,inputs/9.in,909.0600000000001,465.14000000000004
3.973760000000001,inputs/676.in,30.044100000000007,26.070340000000005
12539.0,inputs/627.in,13414.2482,875.2482
4.799999999999999,inputs/96.in,55354.39999999992,55349.59999999992
241.0,inputs/520.in,659.0,418.0
6346.755999999999,inputs/460.in,12986.36,6639.604000000002
96.0,inputs/51.in,288.0,192.0
1.0,inputs/571.in,7.0,6.0
33.0,inputs/431.in,203.0,170.0
40060.0,inputs/613.in,127064.0,87004.0
15516.0,inputs/582.in,34872.0,19356.0
0.00988,inputs/642.in,0.00988,0
1920.0,inputs/702.in,2518.0,598.0
7613.0,inputs/493.in,7877.0,264.0
67.0,inputs/169.in,20145.0,20078.0
314.0,inputs/138.in,912.0,598.0
360.0,inputs/128.in,2106.0,1746.0
839.5247999999999,inputs/179.in,22010.5206,21170.9958
653366.0,inputs/483.in,1963252.0,1309886.0
274.0,inputs/652.in,922.0,648.0
1030.0,inputs/592.in,1522.0,492.0
130403326656.80328,inputs/603.in,392865539722.1863,262462213065.38303
20.0,inputs/421.in,620.0,600.0
4885.0,inputs/41.in,55547.0,50662.0
63001000.0,inputs/561.in,503001192.0,440000192.0
100.0,inputs/470.in,336.0,236.0
530.01,inputs/10.in,1010.8700000000005,480.86000000000047
280.0,inputs/530.in,702.0,422.0
9342.0,inputs/637.in,40046.0,30704.0
790309.2370999999,inputs/86.in,42086367.647899985,41296058.41079999
103994918662.99493,inputs/666.in,284856470885.79565,180861552222.80072
79040044781.0,inputs/24.in,150260138579.0,71220093798.0
2.0,inputs/504.in,46.0,44.0
29.0,inputs/695.in,87.0,58.0
22.0,inputs/444.in,116.0,94.0
2003.0,inputs/75.in,5965.0,3962.0
548.0,inputs/555.in,1522.0013999999996,974.0013999999998
775.0,inputs/415.in,10379.0,9604.0
2060.0,inputs/614.in,12766.0,10706.0
1795.33,inputs/585.in,4135.33,2340.0
24000002286.008907,inputs/645.in,68000006066.007126,44000003779.998215
417.06199999999995,inputs/705.in,1199.5593999999999,782.4974
473.0,inputs/494.in,535.0,62.0
3.0,inputs/527.in,13.0,10.0
148.0,inputs/467.in,262.0,114.0
111410.0,inputs/576.in,112020.30752,610.3075200000001
38.0,inputs/56.in,2112.0,2074.0
66.0,inputs/436.in,334.0,268.0
1623.0,inputs/671.in,4047.0,2424.0
7194.0,inputs/91.in,7462574.0,7455380.0
105.0,inputs/620.in,317.0,212.0
1407.0,inputs/402.in,4151.0,2744.0
24.0,inputs/542.in,276.0,252.0
1336.0,inputs/62.in,6442.0,5106.0
21.400470000000002,inputs/453.in,275.8125300000001,254.41206000000008
45979451.9471,inputs/682.in,147140645.4605,101161193.5134
516.0,inputs/513.in,1844.0,1328.0
383.0,inputs/33.in,1669.0,1286.0
542819.0,inputs/238.in,1043755.0,500936.0
31110.0,inputs/378.in,42330.45,11220.449999999999
1069.0,inputs/269.in,5537.0,4468.0
811.0,inputs/329.in,3027.0,2216.0
3763.0,inputs/339.in,10513.0,6750.0
58258988341.22002,inputs/279.in,174776951583.6599,116517963242.43991
252.0,inputs/368.in,782.0,530.0
960.0,inputs/228.in,1156.0,196.0
380.0,inputs/503.in,1170.0,790.0
55.0,inputs/692.in,221.0,166.0
